chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
19f5fcae,40109,0.160820445,107558,668808,0.000852837,672,787958,1172.556548,0.001023238,811,792582,977.2897657,0.00667565,5291,792582,149.7981478,4125,0.42,0.48,0.200205723,94204,470536,0.071318039,14794,207437,0.001490067,1181,792582,671.110923
19ff2e48,18013,0.104894493,1198,11421,0.000332557,5,15035,3007,0.000131285,2,15234,7617,0.000590784,9,15234,1692.666667,3189,0.4,0.47,0.112601766,982,8721,0.082575227,236,2858,0.000393856,6,15234,2539
1a53bb4c,22007,0.102683402,1898,18484,0.000133179,3,22526,7508.666667,0.000134529,3,22300,7433.333333,0.000269058,6,22300,3716.666667,5806,0.4,0.46,0.129207304,1762,13637,0.029469165,151,5124,0.000269058,6,22300,3716.666667
1a57b5da,06049,0.105304705,667,6334,0.000677277,6,8859,1476.5,0.000797539,7,8777,1253.857143,0.003645893,32,8777,274.28125,3131,0.35,0.17,0.119153439,563,4725,0.064133017,108,1684,0.000683605,6,8777,1462.833333
1a585ff4,55121,0.076411265,1826,23897,0.000271444,8,29472,3684,0.000305686,9,29442,3271.333333,0.000509476,15,29442,1962.8,2998,0.54,0.46,0.087562545,1470,16788,0.051220166,382,7458,0.000883092,26,29442,1132.384615
1a7b944c,05007,0.104266079,24123,231360,0.000604581,161,266300,1654.037267,0.000410846,112,272608,2434,0.002244982,612,272608,445.4379085,3144,0.44,0.51,0.128542914,20608,160320,0.052171692,3881,74389,0.000693303,189,272608,1442.37037
1a801013,06051,0.09979018,1189,11915,0.000635234,9,14168,1574.222222,0.000491228,7,14250,2035.714286,0.001964912,28,14250,508.9285714,2685,0.4,0.42,0.114822771,1069,9310,0.048404841,132,2727,0.000912281,13,14250,1096.153846
1aa292dc,24037,0.052479738,5057,96361,0.000399407,45,112667,2503.711111,0.000514805,58,112664,1942.482759,0.001144998,129,112664,873.3643411,5535,0.36,0.44,0.059307786,4092,68996,0.037004804,1063,28726,0.000479301,54,112664,2086.37037
1aa9c196,37039,0.13992897,2758,19710,0.000356037,10,28087,2808.7,0.000317091,9,28383,3153.666667,0.001444527,41,28383,692.2682927,4262,0.38,0.43,0.168215551,2516,14957,0.053542994,269,5024,0.000916041,26,28383,1091.653846
1aaa7e43,19021,0.113192284,1819,16070,0.000447539,9,20110,2234.444444,0.000603804,12,19874,1656.166667,0.000402536,8,19874,2484.25,2518,0.46,0.54,0.138619202,1542,11124,0.056800618,294,5176,0.000352219,7,19874,2839.142857
1aac431f,13031,0.167798629,10426,62134,0.00055155,42,76149,1813.071429,0.000375181,29,77296,2665.37931,0.00090561,70,77296,1104.228571,6884,0.4,0.48,0.202088673,9540,47207,0.066742367,1058,15852,0.000944421,73,77296,1058.849315
1ac23600,13119,0.188438396,3351,17783,0.000262927,6,22820,3803.333333,0.000217174,5,23023,4604.6,0.000738392,17,23023,1354.294118,6781,0.38,0.52,0.227758835,2939,12904,0.088046647,453,5145,0.000825262,19,23023,1211.736842
1af00f22,19017,0.039052123,735,18821,0.000521858,13,24911,1916.230769,0.000601275,15,24947,1663.133333,0.001362889,34,24947,733.7352941,3487,0.53,0.48,0.04630394,617,13325,0.02272333,131,5765,0.001282719,32,24947,779.59375
1b02f1cc,31123,0.136831005,519,3793,0.000206783,1,4836,4836,0.000426803,2,4686,2343,NULL,0,4686,NULL,3314,0.31,0.42,0.157126824,420,2673,0.087704213,102,1163,0.000853607,4,4686,1171.5
1b03624f,40147,0.164140623,6812,41501,0.000442887,23,51932,2257.913044,0.000559381,29,51843,1787.689655,0.002989796,155,51843,334.4709677,2801,0.42,0.57,0.196977485,5748,29181,0.089170989,1152,12919,0.000887294,46,51843,1127.021739
1b145fbe,02275,0.189355169,370,1954,0.001190004,3,2521,840.3333333,0.000799041,2,2503,1251.5,0.003196165,8,2503,312.875,NULL,NULL,NULL,0.206002729,302,1466,0.141472868,73,516,0,0,2503,-2503
1b1d7c26,01071,0.130509417,5398,41361,0.000539406,28,51909,1853.892857,0.00034792,18,51736,2874.222222,0.000463894,24,51736,2155.666667,5903,0.42,0.42,0.164904725,5054,30648,0.033892321,384,11330,0.000618525,32,51736,1616.75
1b1f8e4f,36015,0.041758674,2761,66118,0.000759727,65,85557,1316.261539,0.000581575,49,84254,1719.469388,0.002884136,243,84254,346.7242798,5214,0.53,0.52,0.051061615,2453,48040,0.017919075,341,19030,0.001388658,117,84254,720.1196581
1b676c85,29089,0.125574072,957,7621,0.000394516,4,10139,2534.75,0.000295946,3,10137,3379,0.000591891,6,10137,1689.5,3597,0.46,0.39,0.14607968,803,5497,0.072907291,162,2222,0.00069054,7,10137,1448.142857
1b6fe399,49019,0.131945332,1033,7829,0.001343808,13,9674,744.1538462,0.000716919,7,9764,1394.857143,0.002355592,23,9764,424.5217391,1706,0.38,0.42,0.150060859,863,5751,0.084668192,185,2185,0.000716919,7,9764,1394.857143
1b7d5412,20081,0.219130435,756,3450,0.000246731,1,4053,4053,0,0,3997,-3997,0.000250188,1,3997,3997,4175,0.2,0.53,0.250650477,578,2306,0.155518395,186,1196,0.001000751,4,3997,999.25
1b9c1523,17165,0.070537428,1323,18756,0.000622355,15,24102,1606.8,0.000376475,9,23906,2656.222222,0.001756881,42,23906,569.1904762,7662,0.35,0.25,0.085840324,1187,13828,0.028615623,148,5172,0.001254915,30,23906,796.8666667
1ba28276,21141,0.069069619,1510,21862,0.000295639,8,27060,3382.5,0.000296417,8,26989,3373.625,0.000555782,15,26989,1799.266667,6794,0.47,0.52,0.080043649,1247,15579,0.042740224,282,6598,0.000555782,15,26989,1799.266667
1bb30f91,48165,0.337495997,6324,18738,0.000242272,5,20638,4127.6,0.0000956892,2,20901,10450.5,0.0000956892,2,20901,10450.5,5252,0.2,0.31,0.38359163,4381,11421,0.266823776,2038,7638,0.000191378,4,20901,5225.25
1bbb9fe3,37087,0.120252613,5522,45920,0.000753061,46,61084,1327.913044,0.000435688,27,61971,2295.222222,0.00382437,237,61971,261.4810127,5063,0.44,0.49,0.145358819,5080,34948,0.04278813,496,11592,0.000548644,34,61971,1822.676471
1bc9b193,46065,0.096399944,1371,14222,0.000792483,14,17666,1261.857143,0.000566572,10,17650,1765,0.002096317,37,17650,477.027027,2520,0.53,0.56,0.113048707,1128,9978,0.060238256,268,4449,0.001586402,28,17650,630.3571429
1bcea632,47113,0.096069475,7445,77496,0.001310898,128,97643,762.8359375,0.00066595,65,97605,1501.615385,0.002530608,247,97605,395.1619433,6350,0.44,0.51,0.118719265,6663,56124,0.038791958,876,22582,0.00203883,199,97605,490.4773869
1bd4b99c,22043,0.094086354,1521,16166,0.0000895415,2,22336,11168,0.00013344,3,22482,7494,0.0006672,15,22482,1498.8,5719,0.4,0.41,0.120288345,1385,11514,0.031351792,154,4912,0.0002224,5,22482,4496.4
1c0b94a4,37173,0.183244704,2102,11471,0.000839513,12,14294,1191.166667,0.000842401,12,14245,1187.083333,0.002808003,40,14245,356.125,4671,0.21,0.42,0.224360507,1877,8366,0.075887393,248,3268,0.002176202,31,14245,459.516129
1c0c368b,06087,0.073566809,16345,222179,0.001000373,276,275897,999.6268116,0.000794881,218,274255,1258.050459,0.007613353,2088,274255,131.3481801,2792,0.43,0.48,0.085861189,14495,168819,0.037190448,2101,56493,0.000700078,192,274255,1428.411458
1c17edeb,48163,0.222206127,3068,13807,0.000204082,4,19600,4900,0.000252321,5,19816,3963.2,0.000252321,5,19816,3963.2,5013,0.27,0.35,0.280180277,2611,9319,0.106015987,504,4754,0.000605571,12,19816,1651.333333
1c2a8e45,13123,0.224986972,5181,23028,0.000521614,16,30674,1917.125,0.000324507,10,30816,3081.6,0.000746366,23,30816,1339.826087,3589,0.37,0.43,0.262662639,4522,17216,0.11742671,721,6140,0.000292056,9,30816,3424
1c3c949c,17099,0.059211205,5166,87247,0.000363415,40,110067,2751.675,0.000520881,57,109430,1919.824561,0.000922965,101,109430,1083.465347,4608,0.46,0.45,0.072632863,4644,63938,0.024067535,593,24639,0.000584849,64,109430,1709.84375
1c52a59c,36019,0.053857801,3308,61421,0.000691529,56,80980,1446.071429,0.000607225,49,80695,1646.836735,0.002627176,212,80695,380.6367925,5515,0.51,0.49,0.062874252,2961,47094,0.02548023,386,15149,0.001028564,83,80695,972.2289157
1c5de900,21201,0.076225045,126,1653,NULL,0,2134,NULL,0,0,2135,-2135,NULL,0,2135,NULL,6427,0.21,0.47,0.083127572,101,1215,0.054945055,25,455,0,0,2135,-2135
1c63c88c,20145,0.089494163,391,4369,0.001047904,7,6680,954.2857143,0.000304785,2,6562,3281,0.006095703,40,6562,164.05,3344,0.27,0.37,0.104575163,352,3366,0.040451552,43,1063,0.001676318,11,6562,596.5454546
1c7f36d7,26165,0.068468536,1829,26713,0.000871499,29,33276,1147.448276,0.000747027,25,33466,1338.64,0.002420367,81,33466,413.1604938,3455,0.45,0.46,0.082626453,1578,19098,0.033546126,268,7989,0.000956194,32,33466,1045.8125
1c9b7b05,16051,0.125290488,3127,24958,0.00024608,7,28446,4063.714286,0.000203811,6,29439,4906.5,0.00023778,7,29439,4205.571429,2147,0.33,0.44,0.174226202,2685,15411,0.048143329,481,9991,0.000373654,11,29439,2676.272727
1c9f13f9,28119,0.160020537,935,5843,0.000137571,1,7269,7269,0.000141824,1,7051,7051,0.000425472,3,7051,2350.333333,6679,0.26,0.4,0.208570076,881,4224,0.034202899,59,1725,0.000850943,6,7051,1175.166667
1cadcf1d,42133,0.065137133,23695,363771,0.000692704,309,446078,1443.618123,0.000528696,237,448273,1891.447257,0.001171161,525,448273,853.8533333,4397,0.47,0.58,0.075072662,19992,266302,0.039195225,4019,102538,0.000887852,398,448273,1126.31407
1caedaab,16049,0.158735733,1808,11390,0.000610911,10,16369,1636.9,0.000423908,7,16513,2359,0.000847817,14,16513,1179.5,4221,0.34,0.23,0.192855419,1598,8286,0.069448675,228,3283,0.0007267,12,16513,1376.083333
1cb10569,01053,0.144283449,4003,27744,0.000347157,13,37447,2880.538462,0.000380973,14,36748,2624.857143,0.00057146,21,36748,1749.904762,7412,0.34,0.35,0.189484935,3723,19648,0.035600987,303,8511,0.000517035,19,36748,1934.105263
1cd8f8b8,27091,0.065034734,983,15115,0.000806045,16,19850,1240.625,0.000657063,13,19785,1521.923077,0.00106141,21,19785,942.1428571,6157,0.42,0.5,0.074569439,814,10916,0.041251133,182,4412,0.00106141,21,19785,942.1428571
1ced287c,28145,0.175407483,4154,23682,0.000490265,14,28556,2039.714286,0.000349577,10,28606,2860.6,0.000209746,6,28606,4767.666667,4673,0.43,0.4,0.226133076,3752,16592,0.059383378,443,7460,0.001608054,46,28606,621.8695652
1cf5f591,10005,0.071545503,11669,163099,0.000621333,140,225322,1609.442857,0.000226791,52,229286,4409.346154,0.001857942,426,229286,538.230047,4463,0.49,0.55,0.084431,10243,121318,0.03578909,1572,43924,0.000719625,165,229286,1389.612121
1d09050e,37185,0.163699553,2308,14099,0.0000502942,1,19883,19883,0.000201949,4,19807,4951.75,0.000555359,11,19807,1800.636364,6245,0.42,0.46,0.195641921,2074,10601,0.069339112,256,3692,0.000252436,5,19807,3961.4
1d64649d,39095,0.075264303,26711,354896,0.000919035,396,430887,1088.098485,0.00073273,315,429899,1364.75873,0.002921617,1256,429899,342.2762739,6143,0.42,0.5,0.089287515,23026,257886,0.039048703,3980,101924,0.001530592,658,429899,653.3419453
1d683355,27033,0.060803727,522,8585,0.000708278,8,11295,1411.875,0.000532056,6,11277,1879.5,0.001152789,13,11277,867.4615385,3790,0.54,0.37,0.070408335,419,5951,0.040794224,113,2770,0.001064113,12,11277,939.75
1d7b394d,46007,0.217750258,633,2907,NULL,0,3454,NULL,0.000576701,2,3468,1734,0.000288351,1,3468,3468,7283,0.29,0.07,0.284861639,525,1843,0.101710171,113,1111,0.002883506,10,3468,346.8
1d8117ec,42035,0.076298483,2274,29804,0.000512847,20,38998,1949.9,0.000439458,17,38684,2275.529412,0.001137421,44,38684,879.1818182,4768,0.44,0.45,0.082216588,1816,22088,0.059785952,486,8129,0.000930617,36,38684,1074.555556
1d899af5,54000,0.075098617,106784,1421917,0.000777044,1411,1815857,1286.929128,0.000551546,996,1805832,1813.084337,0.001303554,2354,1805832,767.13339,6149,0.39,0.41,0.09206305,97796,1062272,0.025971658,9827,378374,0.001515091,2736,1805832,660.0263158
1d92e443,06083,0.105085528,38236,363856,0.000763137,342,448150,1310.380117,0.000830857,371,446527,1203.576819,0.005251642,2345,446527,190.4166311,2161,0.42,0.45,0.13062477,34736,265922,0.038482322,3988,103632,0.000644978,288,446527,1550.440972
1da02fe7,41027,0.111653199,2197,19677,0.002096077,49,23377,477.0816327,0.001237835,29,23428,807.862069,0.003500085,82,23428,285.7073171,2395,0.37,0.43,0.133517888,1881,14088,0.05863413,346,5901,0.000981731,23,23428,1018.608696
1de63a01,28091,0.159805201,3183,19918,0.000319119,8,25069,3133.625,0.000242768,6,24715,4119.166667,0.000525996,13,24715,1901.153846,7946,0.38,0.38,0.204838823,2904,14177,0.050464807,304,6024,0.000566458,14,24715,1765.357143
1e102e10,19097,0.054089537,824,15234,0.000361458,7,19366,2766.571429,0.000514615,10,19432,1943.2,0.000823384,16,19432,1214.5,5554,0.46,0.55,0.062880509,692,11005,0.03258427,145,4450,0.000257308,5,19432,3886.4
1e23fadc,30047,0.153035776,3559,23256,0.000693687,21,30273,1441.571429,0.000859504,26,30250,1163.461539,0.002380165,72,30250,420.1388889,4902,0.42,0.38,0.186322486,3046,16348,0.077762619,570,7330,0.000991736,30,30250,1008.333333
1e272fb5,42045,0.055536855,25408,457498,0.001069602,604,564696,934.9271523,0.000837537,473,564751,1193.976744,0.002774674,1567,564751,360.4026803,4565,0.42,0.55,0.065226139,21882,335479,0.030049369,3859,128422,0.000867639,490,564751,1152.553061
1e2c44df,36099,0.062805522,1606,25571,0.000231898,8,34498,4312.25,0.000262391,9,34300,3811.111111,0.00180758,62,34300,553.2258065,5007,0.49,0.52,0.07319266,1384,18909,0.033907964,238,7019,0.000553936,19,34300,1805.263158
1e335208,27115,0.066697438,1445,21665,0.000205458,6,29203,4867.166667,0.000339179,10,29483,2948.3,0.001661975,49,29483,601.6938776,7376,0.39,0.31,0.076270658,1223,16035,0.040984989,243,5929,0.000407014,12,29483,2456.916667
1e386c68,42009,0.069370072,2578,37163,0.000247525,12,48480,4040,0.000456659,22,48176,2189.818182,0.001286948,62,48176,777.0322581,4175,0.45,0.37,0.075327002,2102,27905,0.052385312,515,9831,0.000913318,44,48176,1094.909091
1e3a4dd6,06107,0.08760705,35272,402616,0.00041766,194,464493,2394.293814,0.000513029,239,465861,1949.209205,0.002668178,1243,465861,374.7876106,4469,0.37,0.41,0.120248331,31804,264486,0.026932229,3916,145402,0.000807108,376,465861,1238.992021
1e3b5bc3,48487,0.219495503,2245,10228,0.000470072,6,12764,2127.333333,0.000390016,5,12820,2564,0.001560062,20,12820,641,6666,0.31,0.49,0.255353535,1896,7425,0.127906977,374,2924,0.000546022,7,12820,1831.428571
1e4076c2,47139,0.125114784,1635,13068,0.000596766,10,16757,1675.7,0.000355072,6,16898,2816.333333,0.0000591786,1,16898,16898,5568,0.36,0.39,0.150381291,1479,9835,0.050469484,172,3408,0.000591786,10,16898,1689.8
1e4b8d47,08087,0.123515439,2860,23155,0.000709421,20,28192,1409.6,0.000735346,21,28558,1359.904762,0.002136004,61,28558,468.1639344,2961,0.39,0.42,0.149388161,2405,16099,0.066961889,499,7452,0.000630296,18,28558,1586.555556
1e742c26,48281,0.201510592,3415,16947,0.000428021,9,21027,2336.333333,0.000141316,3,21229,7076.333333,0.000518159,11,21229,1929.909091,7743,0.37,0.26,0.23227023,2833,12197,0.127934739,643,5026,0.000329738,7,21229,3032.714286
1e89da32,39039,0.067487669,2066,30613,0.000550372,21,38156,1816.952381,0.00039303,15,38165,2544.333333,0.002305778,88,38165,433.6931818,5307,0.45,0.49,0.077153626,1699,22021,0.044162996,401,9080,0.000864667,33,38165,1156.515152
1ea57b35,20199,0.132540357,156,1177,0,0,1524,-1524,0,0,1503,-1503,0.000665336,1,1503,1503,3001,0.4,0.25,0.147869674,118,798,0.101485149,41,404,0.000665336,1,1503,1503
1ea84148,13273,0.182332787,1224,6713,NULL,0,8729,NULL,0.000116131,1,8611,8611,NULL,0,8611,NULL,5710,0.49,0.37,0.228583282,1102,4821,0.066832918,134,2005,0.000232261,2,8611,4305.5
1eaeaf29,53041,0.0880651,5357,60830,0.00044757,35,78200,2234.285714,0.000653234,52,79604,1530.846154,0.003630471,289,79604,275.4463668,3203,0.33,0.35,0.108293536,4830,44601,0.033818118,579,17121,0.001004975,80,79604,995.05
1ec4fbba,13037,0.1797308,681,3789,0.000154919,1,6455,6455,0.000314862,2,6352,3176,0.000157431,1,6352,6352,5724,0.42,0.3,0.215022091,584,2716,0.093695272,107,1142,0.000629723,4,6352,1588
1ed68a63,27011,0.059633028,221,3706,0.001392758,7,5026,718,0.000200441,1,4989,4989,0.000200441,1,4989,4989,7839,0.56,0.43,0.06641791,178,2680,0.04363974,47,1077,0.001403087,7,4989,712.7142857
1eeb62e9,48369,0.286936883,2414,8413,0.000203211,2,9842,4921,0.000101379,1,9864,9864,NULL,0,9864,NULL,3325,0.35,0.31,0.339518287,1903,5605,0.18440678,544,2950,0.001115166,11,9864,896.7272727
1eeccad9,24043,0.063738374,7566,118704,0.00055785,84,150578,1792.595238,0.00060957,92,150926,1640.5,0.002451533,370,150926,407.9081081,4666,0.39,0.51,0.072691347,6254,86035,0.041830065,1440,34425,0.001026993,155,150926,973.716129
1f1a683d,13309,0.156558533,666,4254,0.000125755,1,7952,7952,NULL,0,7879,NULL,NULL,0,7879,NULL,4348,0.38,0.39,0.194726166,576,2958,0.071532847,98,1370,0.000253839,2,7879,3939.5
1f273ed7,39031,0.087711502,2566,29255,0.000355736,13,36544,2811.076923,0.000327609,12,36629,3052.416667,0.000737121,27,36629,1356.62963,4799,0.38,0.43,0.096789673,2017,20839,0.065777577,582,8848,0.00035491,13,36629,2817.615385
1f280de7,23013,0.117141769,3382,28871,0.000929882,37,39790,1075.405405,0.000678887,27,39771,1473,0.00515451,205,39771,194.0048781,2651,0.44,0.48,0.135457076,2968,21911,0.060940695,447,7335,0.00082975,33,39771,1205.181818
1f2adc37,42061,0.059148614,1873,31666,0.000351718,16,45491,2843.1875,0.000309954,14,45168,3226.285714,0.001062699,48,45168,941,4891,0.48,0.41,0.067023097,1567,23380,0.037945661,331,8723,0.000642048,29,45168,1557.517241
1f2e8e98,09013,0.037413953,4272,114182,0.000501779,76,151461,1992.907895,0.000503575,76,150921,1985.802632,0.002338972,353,150921,427.5382436,4029,0.52,0.58,0.04294793,3771,87804,0.021037669,592,28140,0.000702354,106,150921,1423.783019
1f423d37,35033,0.099572389,326,3274,NULL,0,4551,NULL,0.000443853,2,4506,2253,0.001109632,5,4506,901.2,1771,0.26,0.38,0.107922393,267,2474,0.075669383,65,859,0.000665779,3,4506,1502
1f4397bf,17133,0.036590525,1038,28368,0.000351937,12,34097,2841.416667,0.000815494,28,34335,1226.25,0.001310616,45,34335,763,5452,0.48,0.52,0.044425129,920,20709,0.016815035,136,8088,0.000553371,19,34335,1807.105263
1f55e546,18151,0.095585732,2527,26437,0.000318989,11,34484,3134.909091,0.000433702,15,34586,2305.733333,0.000751749,26,34586,1330.230769,3741,0.4,0.48,0.107471117,2093,19475,0.064304282,470,7309,0.000231308,8,34586,4323.25
1f570e76,40047,0.180219563,9111,50555,0.00053588,33,61581,1866.090909,0.000558173,34,60913,1791.558824,0.004481802,273,60913,223.1245421,5318,0.39,0.54,0.227674078,7916,34769,0.079242764,1306,16481,0.000755175,46,60913,1324.195652
1f68dd02,35041,0.134612839,2034,15110,0.000371412,7,18847,2692.428571,0.000373473,7,18743,2677.571429,0.002721016,51,18743,367.5098039,6353,0.25,0.24,0.163575357,1755,10729,0.067529666,313,4635,0.001013712,19,18743,986.4736842
1f89d649,13107,0.159510241,2827,17723,0.000443853,10,22530,2253,0.000176897,4,22612,5653,0.001149832,26,22612,869.6923077,8057,0.36,0.33,0.202692838,2499,12329,0.06366843,361,5670,0.001282505,29,22612,779.7241379
1f8f9395,01039,0.121036177,3523,29107,0.00051224,19,37092,1952.210526,0.000378522,14,36986,2641.857143,0.000648894,24,36986,1541.083333,9181,0.42,0.39,0.152915603,3236,21162,0.037063606,310,8364,0.000784081,29,36986,1275.37931
1fb175fc,13291,0.186862531,2913,15589,0.000809924,19,23459,1234.684211,0.000333319,8,24001,3000.125,0.000708304,17,24001,1411.823529,3060,0.5,0.46,0.214702155,2541,11835,0.102926337,408,3964,0.001583267,38,24001,631.6052632
1fc07c1b,08083,0.137988937,2794,20248,0.000994644,26,26140,1005.384615,0.000573438,15,26158,1743.866667,0.001529169,40,26158,653.95,2207,0.32,0.39,0.155508446,2274,14623,0.093491124,553,5915,0.000841043,22,26158,1189
1fe48a02,36021,0.060419343,2775,45929,0.000495017,30,60604,2020.133333,0.000417251,25,59916,2396.64,0.001702383,102,59916,587.4117647,4671,0.46,0.5,0.068961647,2458,35643,0.032035983,349,10894,0.000767742,46,59916,1302.521739
1fea1b51,01089,0.094393471,28477,301684,0.000883544,319,361046,1131.805643,0.000542946,199,366519,1841.80402,0.001435123,526,366519,696.8041825,5439,0.46,0.45,0.118332375,26337,222568,0.029151721,2430,83357,0.001165015,427,366519,858.3583138
1ff9cb8b,48151,0.208234093,612,2939,0.000257732,1,3880,3880,0.000260485,1,3839,3839,NULL,0,3839,NULL,4175,0.36,0.09,0.22627396,484,2139,0.164912281,141,855,0.001041938,4,3839,959.75
1ffa018e,50011,0.046649931,1914,41029,0.000550739,27,49025,1815.740741,0.000465389,23,49421,2148.73913,0.002428118,120,49421,411.8416667,4511,0.46,0.48,0.058753552,1778,30262,0.013146286,149,11334,0.001112887,55,49421,898.5636364
2014c567,38031,0.077105575,195,2529,0.000921093,3,3257,1085.666667,0.001243781,4,3216,804,0.000621891,2,3216,1608,5757,0.56,0.45,0.07704918,141,1830,0.078911565,58,735,0.001554726,5,3216,643.2
20223101,48485,0.175842641,17790,101170,0.000719697,95,132000,1389.473684,0.000772353,102,132064,1294.745098,0.001506845,199,132064,663.638191,4898,0.38,0.44,0.211806038,15253,72014,0.092527272,2833,30618,0.001128241,149,132064,886.3355705
2022fc10,31127,0.076593257,393,5131,0.000719528,5,6949,1389.8,0.000431158,3,6958,2319.333333,0.000287439,2,6958,3479,3411,0.45,0.58,0.091083151,333,3656,0.0402859,62,1539,0.00014372,1,6958,6958
203ade90,35047,0.089100346,1854,20808,0.000576618,16,27748,1734.25,0.000398681,11,27591,2508.272727,0.009930775,274,27591,100.6970803,3900,0.25,0.36,0.10196178,1606,15751,0.053430924,292,5465,0.000906093,25,27591,1103.64
203c9489,20149,0.072576717,1490,20530,0.000669232,16,23908,1494.25,0.000247148,6,24277,4046.166667,0.000288339,7,24277,3468.142857,3391,0.46,0.36,0.089557704,1223,13656,0.040555556,292,7200,0.00032953,8,24277,3034.625
20413cf9,37077,0.115493567,5341,46245,0.000453347,27,59557,2205.814815,0.000299426,18,60115,3339.722222,0.003393496,204,60115,294.6813726,4951,0.41,0.5,0.139317357,4796,34425,0.048866458,610,12483,0.000698661,42,60115,1431.309524
20432335,29121,0.120720567,1414,11713,0.000327847,5,15251,3050.2,0.000395961,6,15153,2525.5,0.000593942,9,15153,1683.666667,3735,0.48,0.4,0.145362196,1202,8269,0.063496427,231,3638,0.000659935,10,15153,1515.3
20466794,20195,0.09855881,212,2151,0.000346741,1,2884,2884,0,0,2793,-2793,0.000716076,2,2793,1396.5,11249,0.38,0.26,0.104049844,167,1605,0.082311734,47,571,0.00179019,5,2793,558.6
204c69c7,39000,0.07094155,671470,9465116,0.000762184,8886,11658609,1312.019919,0.00062133,7263,11689442,1609.450916,0.002443829,28567,11689442,409.1938951,5168,0.43,0.49,0.080717524,557694,6909206,0.04574887,123113,2691061,0.000991322,11588,11689442,1008.754056
20786f76,48235,0.151464435,181,1195,0,0,1516,-1516,0,0,1522,-1522,NULL,0,1522,NULL,2653,0.38,0.38,0.159859977,137,857,0.137362637,50,364,0,0,1522,-1522
2097ac11,13145,0.106903827,2939,27492,0.000353826,12,33915,2826.25,0.000174039,6,34475,5745.833333,0.000203046,7,34475,4925,3718,0.4,0.42,0.12448483,2507,20139,0.062564367,486,7768,0.000145033,5,34475,6895
20a71e7c,01077,0.112851588,8213,72777,0.0005079,47,92538,1968.893617,0.000552026,51,92387,1811.509804,0.001547837,143,92387,646.0629371,5323,0.4,0.49,0.140703058,7689,54647,0.030686015,590,19227,0.000822627,76,92387,1215.618421
20b00cef,48463,0.224785821,4959,22061,0.000442282,12,27132,2261,0.000409745,11,26846,2440.545455,0.000521493,14,26846,1917.571429,4362,0.28,0.32,0.280226065,4165,14863,0.115475255,882,7638,0.000595992,16,26846,1677.875
20e1e819,18149,0.098179664,1823,18568,0.000218407,5,22893,4578.6,0.000130804,3,22935,7645,0.00030521,7,22935,3276.428571,4557,0.32,0.35,0.11238617,1518,13507,0.061960195,330,5326,0.000218007,5,22935,4587
20ea7905,40151,0.140739632,940,6679,0.000553649,5,9031,1806.2,0.00044959,4,8897,2224.25,0.004158705,37,8897,240.4594595,4900,0.39,0.37,0.161123735,780,4841,0.089016137,171,1921,0.000674385,6,8897,1482.833333
21033749,16057,0.092938799,2943,31666,0.000940686,37,39333,1063.054054,0.000423581,17,40134,2360.823529,0.001544825,62,40134,647.3225807,2512,0.48,0.46,0.111846186,2705,24185,0.035461888,281,7924,0.000548164,22,40134,1824.272727
2107700b,25005,0.036661108,16752,456942,0.000532518,299,561483,1877.869565,0.000664868,375,564022,1504.058667,0.004896972,2762,564022,204.2078204,6101,0.58,0.52,0.044064989,15112,342948,0.015305232,1842,120351,0.000925496,522,564022,1080.501916
21305b5d,20085,0.097094588,1046,10773,0.000675777,9,13318,1479.777778,0.000451807,6,13280,2213.333333,0.000527108,7,13280,1897.142857,5003,0.46,0.29,0.116644295,869,7450,0.055539651,194,3493,0.000677711,9,13280,1475.555556
2135ddae,35055,0.126389003,3071,24298,0.000884281,29,32795,1130.862069,0.000578651,19,32835,1728.157895,0.008101112,266,32835,123.4398496,2405,0.28,0.41,0.147203459,2724,18505,0.063985672,393,6142,0.001218212,40,32835,820.875
21539df5,45019,0.135389234,44469,328453,0.00121563,488,401438,822.6188525,0.001061825,431,405905,941.774942,0.003513137,1426,405905,284.6458626,3779,0.49,0.5,0.159585899,39802,249408,0.061038552,5038,82538,0.002071913,841,405905,482.6456599
21747003,37000,0.12644555,1063335,8409430,0.000708138,7275,10273419,1412.153814,0.000562232,5838,10383620,1778.626242,0.00244279,25365,10383620,409.3680268,4758,0.46,0.51,0.15607856,959330,6146456,0.048866345,116358,2381148,0.001248794,12967,10383620,800.7727308
21a4d74c,42109,0.087149859,2685,30809,0.000490184,20,40801,2040.05,0.00049334,20,40540,2027,0.000592008,24,40540,1689.166667,3443,0.58,0.58,0.096775642,2155,22268,0.06270186,563,8979,0.000666009,27,40540,1501.481482
