chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
0de611a9,49039,0.126808142,2928,23090,0.000566006,17,30035,1766.764706,0.000424518,13,30623,2355.615385,0.008588316,263,30623,116.4372624,2665,0.34,0.42,0.150182213,2349,15641,0.081875,655,8000,0.000522483,16,30623,1913.9375
0debb402,21225,0.073468052,898,12223,0.000204527,3,14668,4889.333333,0.000413651,6,14505,2417.5,0.000344709,5,14505,2901,7489,0.47,0.32,0.082579424,785,9506,0.046450769,142,3057,0.000482592,7,14505,2072.142857
0defdd21,21027,0.078134806,1245,15934,0.00024862,5,20111,4022.2,0.000147145,3,20388,6796,0.001030018,21,20388,970.8571429,6708,0.38,0.45,0.08640028,986,11412,0.058207705,278,4776,0.000441436,9,20388,2265.333333
0df57c57,31093,0.089578802,453,5057,0.000466056,3,6437,2145.666667,0.000309215,2,6468,3234,0.000309215,2,6468,3234,3584,0.49,0.27,0.09867119,349,3537,0.06998739,111,1586,0.001082251,7,6468,924
0e040f4e,30005,0.174536869,961,5506,0.000596303,4,6708,1677,0.00058763,4,6807,1701.75,0.001175261,8,6807,850.875,4070,0.28,0.18,0.214922049,772,3592,0.099850225,200,2003,0.00058763,4,6807,1701.75
0e08e582,08125,0.13419644,1078,8033,0.000496278,5,10075,2015,0.000399202,4,10020,2505,0.000998004,10,10020,1002,3649,0.41,0.14,0.155329211,854,5498,0.088888889,236,2655,0.000798403,8,10020,1252.5
0e2ee1c6,29049,0.091934909,1548,16838,0.000535176,11,20554,1868.545455,0.000537372,11,20470,1860.909091,0.000439668,9,20470,2274.444444,5227,0.4,0.45,0.110108453,1330,12079,0.047960199,241,5025,0.00073278,15,20470,1364.666667
0ed2c1a7,17081,0.05872437,1707,29068,0.000628618,24,38179,1590.791667,0.000528821,20,37820,1891,0.002221047,84,37820,450.2380952,5831,0.42,0.44,0.072496624,1503,20732,0.025420818,222,8733,0.000978318,37,37820,1022.162162
0edaff92,55061,0.05645804,921,16313,0.000538029,11,20445,1858.636364,0.000392484,8,20383,2547.875,0.000588726,12,20383,1698.583333,2313,0.49,0.35,0.063651591,760,11940,0.037996546,176,4632,0.000784968,16,20383,1273.9375
0edb2e6f,13219,0.117742827,3833,32554,0.00139371,53,38028,717.509434,0.000483805,19,39272,2066.947368,0.002037075,80,39272,490.9,3996,0.51,0.53,0.139598704,3103,22228,0.07393426,803,10861,0.000993074,39,39272,1006.974359
